school_name,state,start_date,end_date,news_link,notes
Pace University,NY,2020-03-11,,https://www.pace.edu/college-health-professions/university-health-care/coronavirus,
Pacific Lutheran University,WA,2020-03-10,2020-03-29,https://www.plu.edu/chws/coronavirus/messages-coronavirus/,
Palo Alto University,CA,2020-03-09,2020-04-05,https://www.paloaltou.edu/all-pau-classes-go-online-monday-march-9-due-covid-19-coronavirus,
Pennsylvania State University System,PA,2020-03-16,2020-04-06,https://news.psu.edu/story/611757/2020/03/11/academics/all-penn-state-classes-take-place-remotely-beginning-march-16,
Pepperdine University,CA,2020-03-13,,https://www.pepperdine.edu/coronavirus/,
Prairie View A&M University,TX,2020-03-11,2020-03-23,http://www.pvamu.edu/wp-content/uploads/2020/03/Classes-to-Resume-March-23.pdf,
Princeton University,NJ,2020-03-14,,https://www.princeton.edu/content/covid-19-coronavirus-information,
Purdue University ,IN,2020-03-23,,https://www.purdue.edu/president/messages/campus-community/2020/2003-coronavirus-update-2.php,
Radford University,VA,2020-03-23,,https://www.radford.edu/content/radfordcore/home/coronavirus/updates/president-message-march-11.html,"We plan to resume all classes, online, on Monday, March 23."
Rensselaer Polytechnic Institute,NY,2020-03-16,2020-05-08,https://info.rpi.edu/coronavirus/communications#COVID19RemoteInstructionExtendedtoEndofSpringSemester2020,
Rice University,TX,2020-03-09,2020-03-22,https://emergency.rice.edu/news/rice-alert-%E2%80%93-classes-canceled-week-march-9,
Rider University ,NJ,2020-03-13,2020-03-27,https://www.rider.edu/coronavirus,
Roger Williams University,RI,2020-03-10,,https://www.abc6.com/uri-moves-to-online-classes-extends-spring-break/,
Rowan University,NJ,2020-03-12,,https://www.rowan.edu/virusinfo/,"As of Tuesday, March 10, the University extended spring break to two weeks (March 16-28) to allow faculty time to convert course material to be delivered remotely (i.e., Webex) beginning March 30. Although we are extending spring break one week, we are not extending the semester."
Rutgers University,NJ,2020-03-12,2020-04-03,https://president.rutgers.edu/public-remarks/letters/important-update-university-operating-status-regarding-covid-19,Rutgers university will cancel all in-person activity including commencement until May
Sacramento State University,CA,2020-03-16,,https://www.csus.edu/alert/coronavirus.html,transitioning to online courses for the rest of the semester \u672c\u5b66\u671f\u63a5\u4e0b\u6765\u7684\u8bfe\u7a0b\u5c06\u5728\u7ebf\u8fdb\u884c
Sacred Heart University,CT,2020-03-11,2020-03-29,https://www.sacredheart.edu/offices--departments-directory/health-services/coronavirus/,
Saint Louis University ,MO,2020-03-23,2020-04-30,https://www.slu.edu/health-advisory/index.php,
Salisbury University,MD,2020-03-14,,https://www.wbaltv.com/article/university-system-of-maryland-schools-to-prepare-for-remote-instruction-following-spring-break/31351840,
San Diego State University ,CA,2020-03-13,,https://sa.sdsu.edu/student-health-services/coronavirus,
San Francisco State University,CA,2020-03-10,2020-04-05,https://news.sfsu.edu/coronavirus,
San Jose State University,CA,2020-03-10,2020-03-27,http://blogs.sjsu.edu/newsroom/2020/updates-on-novel-coronavirus-outbreak/,
Santa Clara University ,CA,2020-03-10,2020-04-13,https://www.scu.edu/covid-19/,
Sarah Lawrence College,NY,2020-03-23,2020-04-03,https://www.sarahlawrence.edu/status/covid/,
Savannah College of Art and Design,GA,2020-03-12,,https://www.savannahnow.com/news/20200312/scad-announces-all-spring-quarter-classes-will-only-be-offered-online-commencement-ceremonies-canceled,"In addition, spring break will be extended by one week, in order to help students who need to make travel arrangements. Spring classes will begin online on Monday, March 30, 2020 for students at all locations, and the spring quarter will be condensed in order to end on the original date, Thursday, May 28. "
School of Visual Arts,NY,2020-03-11,,https://sva.edu/features/message-from-sva-about-covid-19-novel-coronavirus,
Seattle Pacific University ,WA,2020-03-19,2020-06-22,https://spu.edu/administration/health-services/hs-news/2020/COVID-19,
Seattle University,WA,2020-03-09,2020-03-29,https://www.seattleu.edu/coronavirus/,
Seton Hall University ,NJ,2020-03-11,2020-04-13,https://www.shu.edu/health-intervention-communication/coronavirus-faqs.cfm,
Shippensburg University,PA,2020-03-11,2020-03-23,http://www.ship.edu/coronavirus/,
Sisseton Wahpeton College,SD,2020-03-16,2020-05-08, https://news.sd.gov/newsitem.aspx?id=26563,all public university courses will continue by remote delivery through the remainder of the spring semester. Face-to-face instruction will not resume. The spring 2020 semester is scheduled to end May 8.
Skidmore College,NY,2020-03-09,,https://www.skidmore.edu/covid19/messages/2020-03-09-message.php,
Slippery Rock University,PA,2020-03-30,,https://www.sru.edu/news/03112020,
Smith College,MA,2020-03-30,,https://www.smith.edu/student-life/health-wellness/coronavirus,
South Carolina Public Schools,SC,2020-03-16,2020-03-31,https://www.swlexledger.com/single-post/2020/03/15/Governor-orders-al-SC-school-closed-through-the-end-of-the-month,Governor Henry McMaster has ordered that all South Carolina schools be closed through the end of the month.
South Dakota School for the Blind & Visually Impaired,SD,2020-03-25,2020-05-01,https://news.sd.gov/newsitem.aspx?id=26563,"Students attending South Dakota School for the Blind & Visually Impaired will work with teachers remotely through Friday, May 1, consistent with state directives for other K-12 schools."
South Dakota School for the Deaf,SD,2020-03-25,2020-05-01,https://news.sd.gov/newsitem.aspx?id=26563,all public university courses will continue by remote delivery through the remainder of the spring semester. Face-to-face instruction will not resume. The spring 2020 semester is scheduled to end May 8.
South Dakota School of Mines & Technology,SD,2020-03-16,2020-05-08, https://news.sd.gov/newsitem.aspx?id=26563,all public university courses will continue by remote delivery through the remainder of the spring semester. Face-to-face instruction will not resume. The spring 2020 semester is scheduled to end May 8.
South Dakota State University,SD,2020-03-16,2020-05-08, https://news.sd.gov/newsitem.aspx?id=26563,all public university courses will continue by remote delivery through the remainder of the spring semester. Face-to-face instruction will not resume. The spring 2020 semester is scheduled to end May 8.
Southeat Tech - George S. Mickelson Center,SD,2020-03-16,2020-05-08, https://news.sd.gov/newsitem.aspx?id=26563,all public university courses will continue by remote delivery through the remainder of the spring semester. Face-to-face instruction will not resume. The spring 2020 semester is scheduled to end May 8.
Southern California Institute of Architecture,CA,2020-03-13,,https://www.sciarc.edu/news/2020/covid-19-updates-and-resources-for-sci-arc-community,"Beginning Friday, March 13 all SCI-Arc classes (studios and seminars) will be conducted remotely online."
Southern Illinois University,IL,2020-03-23,,https://shc.siu.edu/coronavirus/campus-messages.php?from=groupmessage&isappinstalled=0,
Southern Methodist University,TX,2020-03-23,,https://blog.smu.edu/coronavirus-covid-19/,"SMU to temporarily move classes online after Spring Break, effective Mar. 23, 2020"
St. John\'s University,NY,2020-03-10,,https://www.stjohns.edu/life-st-johns/health-and-wellness/student-health-services/coronavirus-disease-2019-covid-19,
St. John\u2019s College,NM,2020-03-11,,https://www.abqjournal.com/1430224/st-johns-temporarily-moves-to-online-learning.html,"St. John\u2019s College, a private liberal arts college in Santa Fe, has decided to move to online instruction for two weeks after its spring break to limit the potential spread of the coronavirus, the Santa Fe school said Wednesday."
St. Joseph\'s College,NY,2020-03-10,2020-03-15,https://www.sjcny.edu/em,
St. Lawrence University,NY,2020-03-23,2020-04-13,https://www.stlawu.edu/covid-19/important-updates,"St. Lawrence University will move to remote learning after Spring Break, beginning Monday, March 23. And on-campus classes are planned to resume on Monday, April 13."
Stanford University,CA,2020-03-09,2020-03-22,https://healthalerts.stanford.edu/2020/03/06/online-classes-admit-weekend/,
State Univeristy of New York,NY,2020-03-19,,https://www.purchase.edu/live/news/4476-covid-19-update,
State University System of Florida,FL,2020-03-11,,https://www.flbog.edu/2020/03/11/state-university-system-statement-on-covid-19/,
Stevens Institute of Technology,NJ,2020-03-10,,https://www.stevens.edu/directory/student-health-services/health-advisory-update/coronavirus-2019-covid-19-information,
Stevenson University ,MD,2020-03-12,,https://patch.com/maryland/owingsmills/stevenson-university-cancels-person-classes,
Stockton University ,NJ,2020-03-15,2020-04-05,https://stockton.edu/emergency-management/coronavirus.html,
Stony Brook University,NY,2020-03-23,2020-05-20,,
Suffolk Univeristy ,MA,2020-03-18,,https://www.bostonglobe.com/2020/03/10/nation/list-area-colleges-canceling-classes-sending-students-home-due-coronavirus/,
Swarthmore College,PA,2020-03-23,,https://www.swarthmore.edu/coronavirus-disease-2019-covid-19-information,Swarthmore College has closed for the remainder of the semester. Online classes begin on March 23rd.
Syracuse University,NY,2020-03-10,,https://www.syracuse.edu/coronavirus/,
Temple University,PA,2020-03-16,,https://news.temple.edu/announcements/2020-03-12/covid-19-update-information-students,"Temple University\u2019s U.S. campuses are transitioning to online and alternative forms of learning beginning on Monday, March 16."
Texas A&M University,TX,2020-03-16,,https://www.tamu.edu/coronavirus/index.html,
Texas Tech University,TX,2020-03-16,2020-03-27,,
The City University of New York (CUNY),NY,2020-03-19,,https://nypost.com/2020/03/11/suny-and-cuny-cancel-in-person-classes-over-coronavirus-pandemic/,
The College of New Jersey ,NJ,2020-03-23,2020-04-05,https://emergency.tcnj.edu/covid-19/,
The College of Wooster ,OH,2020-03-23,2020-04-06,https://www.wooster.edu/campus/health-safety/corona-virus-info/,
The Juilliard School,NY,2020-03-16,,https://www.juilliard.edu/news/146051/message-president-damian-woetzel-regarding-covid-19,
The New School,NY,2020-03-23,,https://blogs.newschool.edu/community-messages/2020/03/11/coronavirus-covid-19-update-spring-break-and-the-weeks-beyond/,
The State University of New York (SUNY),NY,2020-03-19,,https://nypost.com/2020/03/11/suny-and-cuny-cancel-in-person-classes-over-coronavirus-pandemic/,
The University of South Florida,FL,2020-03-20,,https://www.usf.edu/coronavirus/,"As directed by the Florida Board of Governors, we will begin transitioning all of our classes to remote instruction for two weeks following spring break, March 23 through at least April 5. "
The University of Tampa,FL,2020-03-16,,https://www.ut.edu/campus-life/student-services/dickey-health-and-wellness-center/covid-19-resources-and-updates,"Effective March 16, 2020, all face-to-face instruction has moved online. Students are discouraged to return to campus. Students, who are U.S. citizens and studying abroad in Europe, should return immediately to the U.S. no later than Friday, March 13, at midnight."
The University of Uath,UT,2020-03-18,,https://dps.utah.edu/coronavirus/,"The University of Utah will shift to all-online instruction beginning March 18 for the rest of spring semester. Classes are cancelled Monday and Tuesday, March 16 and 17,"
Thompson Rivers University,Canada,2020-03-16,,https://www.tru.ca/current/wellness/covid-19/updates.html,"Effective Monday, March 16, TRU is temporarily suspending all face-to-face classes, meaning there will be no classes in session. "
Towson University,MD,2020-03-14,,https://www.wbaltv.com/article/university-system-of-maryland-schools-to-prepare-for-remote-instruction-following-spring-break/31351840,
Trinity University,TX,2020-03-16,,https://new.trinity.edu/emergency,
Tufts University,MA,2020-03-25,,https://coronavirus.tufts.edu/,
Tulane University,LA,,,https://tulane.edu/emergency,Tulane University moves to online instruction until the end of the semester
Univeristy of Akron,OH,2020-03-10,2020-04-20,https://www.uakron.edu/healthservices/news/,
University of Alabama in Huntsville,AL,2020-03-16,,https://www.uah.edu/news/news/coronavirus-precaution,"The campus will begin limiting face-to-face operations beginning Monday, March 16."
University of Arizona,AZ,2020-03-18,,https://president.arizona.edu/news/2020/03/delaying-start-classes,
University of Arkansas,AR,2020-03-16,2020-05-07,https://news.uark.edu/articles/52541/in-person-classes-suspended-online-course-delivery-starts-march-16,"University of Arkansas is moving all classes online until the end of the semester, starting on March 16th."
University of Baltimore,MD,2020-03-14,,https://www.wbaltv.com/article/university-system-of-maryland-schools-to-prepare-for-remote-instruction-following-spring-break/31351840,
University of California Berkeley,CA,2020-03-13,2020-05-01,https://news.berkeley.edu/coronavirus/,UC Berkeley Chancellor Carol Christ and Executive Vice Chancellor and Provost Paul Alivisatos have announced Remote instruction has been extended through the end of the semester.
University of California Santa Cruz,CA,2020-03-11,,,"Beginning Wednesday, March 11, lecture courses (including discussion sections) and seminars will be offered through alternative modalities (e.g., Zoom) to reduce face-to-face interactions as much as possible."
"University of California, Davis",CA,2020-03-14,,https://www.ucdavis.edu/coronavirus/news/campus-directives-spring-quarter,"For lectures and discussion sections, instruction will be offered through remote means all spring quarter."
"University of California, Irvine",CA,2020-03-10,2020-06-30,https://ehs.uci.edu/PublicHealth/coronavirus.html,
"University of California, Los Angeles",CA,2020-03-11,2020-06-12,https://www.bso.ucla.edu/update/mar-13-2020-613pm-coronavirus-update-17-executive-vice-chancellor-and-provost-emily-carter,UCLA decided to continue to offer instruction remotely through the end of the spring quarter.
"University of California, Riverside",CA,,2020-04-03,https://ehs.ucr.edu/coronavirus,"Winter Quarter classes continue as scheduled. Winter Quarter final exams will not be held in person. Spring Quarter in-person instruction suspended through April 3, 2020"
"University of California, San Diego",CA,,,https://coronavirus.ucsd.edu,"There will be NO in-person, on-campus, final exams during the Winter Quarter 2020 finals week."
"University of California, Santa Barbara",CA,2020-03-12,2020-04-30,https://www.ucsb.edu/COVID-19-information,
"University of California, Santa Cruz",CA,2020-03-11,,https://www.ucsc.edu/coronavirus/index.html,
University of Chicago,IL,2020-03-30,,https://coronavirusupdates.uchicago.edu/,"The University of Chicago is moving to remote learning for undergraduate and graduate classes for the entire Spring Quarter of 2020, beginning on Monday, March 30, the first day of the Spring Quarter."
University of Cincinnati,OH,2020-03-14,2020-04-13,https://www.uc.edu/publichealth.html,
University of Colorado Denver,CO,2020-03-16,2020-03-30,https://www1.ucdenver.edu/coronavirus,
University of Connecticut,CT,2020-03-23,2020-04-06,https://uconn.edu/public-notification/coronavirus,
University of Delaware,DE,2020-03-23,,http://www1.udel.edu/ocm/html-email/president/2020-coronavirus-03-11-20.html,"Spring Break will be moved up in the calendar and now begin on Saturday, March 14. Classes are scheduled to resume via online format on Monday, March 23, and will continue as such until further notice."
University of Florida,FL,2020-03-09,,http://www.ufl.edu/health-updates/march-9-update/,
University of Houston,TX,2020-03-16,,https://uh.edu/covid-19/index,
University of Illinois at Chicago,IL,2020-03-23,,https://emails.uofi.uillinois.edu/newsletter/7412930.html,University of Chicago clearing campus dorms before 3/22 and shifting to \u201cdistant learning\u201d for spring quarter.
University of Illinois at Springfield,IL,2020-03-23,,https://www.uis.edu/covid-19/message-from-the-u-of-i-system/,
University of Illinois at Urbana-Champaign,IL,2020-03-23,,https://news.uillinois.edu/view/7815/807159,
University of Iowa,IA,2020-03-23,2020-04-03,https://coronavirus.uiowa.edu/news/2020/03/message-ui-community-ui-moving-virtual-instruction-beginning-march-23,
University of Kansas,KS,2020-03-23,,https://coronavirus.ku.edu/,"In-person classes will migrate online and resume March 23, using an online format."
University of Kentucky,KY,2020-03-23,2020-04-03,https://www.uky.edu/coronavirus/,
University of Maryland,MD,2020-03-14,,https://www.wbaltv.com/article/university-system-of-maryland-schools-to-prepare-for-remote-instruction-following-spring-break/31351840,
University of Massachusetts Amherst ,MA,2020-03-23,2020-04-03,https://www.umass.edu/coronavirus/,
University of Massachusetts System,MA,2020-03-16,,https://www.umass.edu/coronavirus/news/covid-19-campus-announcement,
University of Miami,FL,2020-03-12,,https://coronavirus.miami.edu/updates-and-messages/index.html#,"Spring break has been extended through March 22. Classes will resume on March 23, but strictly in online/remote/distance learning environments through at least April 4."
University of Michigan at Ann Arbor,MI,2020-03-12,2020-04-21,https://umich.edu/announcements/  //NOTE: cannot select MI state,
University of Minnesota ,MN,2020-03-18,2020-04-01,https://safe-campus.umn.edu/public-health-alerts,"The University of Minnesota announced Wednesday it\u2019s canceling in-person classes at all five of its campuses, moving to online learning starting next week due to concerns over the coronavirus outbreak."
University of Missisippi,MS,2020-03-16,,https://provost.olemiss.edu/covid-19update/#current-university-status,University of Mississippi cancelling classes week of March 16 and moving classes online starting March 23
University of Missouri,MO,2020-03-16,,https://mualert.missouri.edu/coronavirus/,
University of Missouri System ,MO,2020-03-16,,https://alert.mst.edu/coronavirus-information/,"All courses will be online for the remainder of the semester, effective Monday, March 16."
University of Nebraska Lincoln,NE,2020-03-16,,https://covid19.unl.edu/,
University of Nebraska Omaha,NE,2020-03-30,,https://www.unomaha.edu/news/2020/03/campus-update-on-university-operations.php,
University of Nebraska\u2013Lincoln,NE,2020-03-16,,https://covid19.unl.edu/2019-novel-coronavirus-and-covid-19,
University of New Haven,CT,2020-03-09,,https://www.newhaven.edu/coronavirus-info.php,
University of New Mexico,NM,2020-03-16,2020-04-05,https://news.unm.edu/news/unm-to-extend-spring-break-through-april-5-in-effort-to-reduce-potential-transmission-of-coronavirus,University of New Mexico today announced that it will extend its spring break through April 5 in an effort to reduce potential transmission of the coronavirus
University of North Carolina System,NC,2020-03-11,,https://www.unc.edu/posts/2020/03/11/spring-semester-updates/,
University of Northern Iowa,IA,2020-03-23,2020-04-03,https://prepare.uni.edu/uni-temporarily-shifts-exclusive-online-courses-after-spring-break,
University of Notre Dame,IN,2020-03-17,2020-04-13,https://coronavirus.nd.edu/news/father-jenkins-in-person-classes-suspended-moved-online/,
University of Pennsylvania,PA,2020-03-23,,https://coronavirus.upenn.edu/,
University of Pittsburgh,PA,2020-03-16,2020-04-26,https://www.chancellor.pitt.edu/spotlight/covid-19-pandemic-pitts-actions-0,
University of Puget Sound,WA,2020-03-09,2020-03-22,https://www.pugetsound.edu/student-life/counseling-health-and-wellness/coronavirus-2020/,
University of Richmond,VA,2020-03-23,,https://www.richmond.edu/,The University of Richmond will suspend classes March 16\u201320 to allow our faculty time to prepare for a likely move to remote instruction beginning March 23.
University of Rochester,NY,2020-03-18,,https://www.rochester.edu/coronavirus-update/leadership-message-to-university-of-rochester-community/,
University of San Diego,CA,2020-03-23,,https://www.sandiego.edu/coronavirus/,"on March 12, President Harris announced that the University of San Diego is mandating campus-wide remote teaching effective March 23, 2020, through the end of the spring semester. "
University of South Carolina,SC,2020-03-16,2020-04-03,https://sc.edu/safety/coronavirus/,1 week class cancellation after spring break; then 1 week of remote classes. \u53d6\u6d88\u6625\u5047\u540e1\u4e2a\u793c\u62dc\u8bfe\u7a0b\uff0c\u7136\u540e\u8fdc\u7a0b\u63881\u4e2a\u793c\u62dc
University of South Dakota,SD,2020-03-16,2020-05-08, https://news.sd.gov/newsitem.aspx?id=26563,all public university courses will continue by remote delivery through the remainder of the spring semester. Face-to-face instruction will not resume. The spring 2020 semester is scheduled to end May 8.
University of Southern California,CA,2020-03-11,2020-04-14,https://sites.usc.edu/coronavirus/announcements/3-11-notice-of-extended-period-of-remote-instruction/,
"University of Tennessee, Knoxville",TN,2020-03-16,2020-04-05,https://www.utk.edu/coronavirus,
University of Texas at Arlington,TX,2020-03-23,,https://www.uta.edu/announcements/coronavirus,
University of Texas at Austin,TX,2020-03-11,2020-03-30,https://president.utexas.edu/messages-speeches-2020/changing-spring-break-2020,
University of Texas at Dallas,TX,2020-03-30,,https://www.utdallas.edu/coronavirus/,
University of Texas at San Antonio,TX,2020-03-11,2020-03-23,https://www.utsa.edu/today/2020/03/story/coronavirus-campus-operations-update.html,
University of Toledo,OH,2020-03-16,,https://www.utoledo.edu/coronavirus/,
University of Tulsa ,OK,2020-03-11,,https://utulsa.edu/coronavirus-updates/,
University of Vermont,VT,2020-03-16,,https://www.uvm.edu/uvmnews/news/3/11/20-message-president-garimella-uvm-community-covid-19,
University of Virginia,VA,2020-03-19,2020-04-05,https://www.nbc12.com/2020/03/11/uva-not-holding-classes-grounds-foreseeable-future/?fbclid=IwAR3YUr2_azqKjzwtV26NLjzExt1xqL3IHbM7-IxXgWMqo4Fdrz5mXZmbBH0,
University of Washington,WA,2020-03-09,2020-03-29,https://www.washington.edu/coronavirus/,
University of Wisconsin-La Crosse,WI,2020-03-23,2020-04-10,https://www.uwlax.edu/info/covid-19/,
University of Wisconsin-Madison,WI,2020-03-23,2020-04-10,https://covid19.wisc.edu/,
University of Wisconsin-Milwaukee,WI,2020-03-30,,https://uwm.edu/coronavirus/,
University System of Georgia,GA,2020-03-16,,https://www.usg.edu/coronavirus,"Effective Monday, March 16, 2020, all University System of Georgia institutions will temporarily suspend instruction for two weeks"
Vanderbilt University,TN,2020-03-10,2020-03-30,https://www.vanderbilt.edu/coronavirus/,
Virginia Commonwealth University,VA,2020-03-23,,https://blogs.vcu.edu/covid-19-coronavirus/,"When the semester resumes March 23, classes will be taught remotely for the foreseeable future using digital resources such as Blackboard, videoconferencing, online programs, etc"
Virginia Polytechnic Institute and State University,VA,2020-03-23,2020-04-17,https://vt.edu/flu/2019Coronavirus.html,Virginia Tech extends the spring break and switch all courses to online. 
Wagner College,NY,2020-03-11,,https://wagner.edu/newsroom/coronavirus-facts-resources/,
Wake Forest University,NC,2020-03-11,,,
Washington State University,WA,2020-03-23,,https://wsu.edu/covid-19/2020/03/11/wsu-to-move-in-person-classes-to-online-formats-following-spring-break/,
Washington University in St. Louis,MO,2020-03-15,2020-04-30,https://emergency.wustl.edu/wp-content/uploads/2020/03/March-11-message-from-chancellor.pdf,
Wayne College,MI,2020-03-10,,https://www.uakron.edu/healthservices/news/,
Wentworth Institute of Technology,MA,2020-03-18,,https://wit.edu/covid-19-online-classes,
West Chester University ,PA,2020-03-30,,https://www.wcupa.edu/communications/newsroom/2020/03.11update.aspx,
West Chester University of Pennsylvania,PA,2020-03-14,,https://www.wcupa.edu/communications/newsroom/2020/03.10update.aspx,
West Valley College,CA,2020-03-11,,https://www.westvalley.edu/services/health/coronavirus-advisory.html,
West Virginia schools,WV,2020-03-16,,https://www.wsls.com/news/2020/03/13/west-virginia-schools-to-close-starting-next-week/,All schools in West Virginia will be closed next week.
West Virginia University,WV,2020-03-23,,https://wvutoday.wvu.edu/stories/2020/03/10/wvu-to-temporarily-suspend-in-person-classes-after-spring-break-move-to-online-model,
Western Dakota Tech,SD,2020-03-16,2020-05-08, https://news.sd.gov/newsitem.aspx?id=26563,all public university courses will continue by remote delivery through the remainder of the spring semester. Face-to-face instruction will not resume. The spring 2020 semester is scheduled to end May 8.
Wheaton College,MA,2020-03-23,,https://www.wheaton.edu/life-at-wheaton/student-development-offices/student-health/student-health-services/covid-19/,
Whitman College,WA,2020-03-30,,https://www.whitman.edu/health-center/coronavirus-information/march-12-whitman-moves-to-online-learning-after-spring-break,"We have made the very difficult decision to go to an online learning model at the end of spring break on March 30, 2020 and until further notice.  Classes are canceled tomorrow March, 13, 2020 to allow members of our community to prepare for this change."
Williams College,MA,2020-03-13,,https://www.williams.edu/coronavirus/important-covid-19-update-march-11/,
Worcester Polytechnic Institute,MA,2020-03-25,,https://www.wpi.edu/news/announcements/important-covid-19-update-d-term-delayed-classes-online-travel-cancelled,"D-Term courses will be delivered remotely beginning March 25. There will be at least two weeks of remote delivery, and a decision will be made on the remainder of the term by the end of March."
Xavier Univeristy,OH,2020-03-16,,https://www.xavier.edu/coronavirus/index,
Yale University,CT,2020-03-12,,https://communications.yale.edu/covid-19-information?from=timeline&isappinstalled=0,
Yeshiva University,NY,2020-03-08,,https://www.yu.edu/health-alert,
